"year","SG_UF","noti_deaths","confi_deaths","abbrev_state","name_state"
2013,11,0,0,"RO","Rondônia"
2013,12,0,0,"AC","Acre"
2013,13,0,0,"AM","Amazônas"
2013,14,0,0,"RR","Roraima"
2013,15,0,0,"PA","Pará"
2013,16,0,0,"AP","Amapá"
2013,17,0,0,"TO","Tocantins"
2013,22,0,0,"PI","Piauí"
2013,23,0,0,"CE","Ceará"
2013,24,0,0,"RN","Rio Grande Do Norte"
2013,25,0,0,"PB","Paraíba"
2013,26,0,0,"PE","Pernambuco"
2013,27,0,0,"AL","Alagoas"
2013,28,0,0,"SE","Sergipe"
2013,29,0,0,"BA","Bahia"
2013,31,0,0,"MG","Minas Gerais"
2013,32,0,0,"ES","Espírito Santo"
2013,33,0,0,"RJ","Rio De Janeiro"
2013,35,0,0,"SP","São Paulo"
2013,41,1,0,"PR","Paraná"
2013,42,0,0,"SC","Santa Catarina"
2013,43,0,0,"RS","Rio Grande Do Sul"
2013,50,0,0,"MS","Mato Grosso Do Sul"
2013,51,1,0,"MT","Mato Grosso"
2013,52,1,0,"GO","Goiás"
2013,53,0,0,"DF","Distrito Federal"
2013,NA,0,0,NA,NA
2014,11,2,2,"RO","Rondônia"
2014,12,2,2,"AC","Acre"
2014,13,8,8,"AM","Amazônas"
2014,14,1,1,"RR","Roraima"
2014,15,5,4,"PA","Pará"
2014,16,1,1,"AP","Amapá"
2014,17,0,0,"TO","Tocantins"
2014,21,15,14,"MA","Maranhão"
2014,22,5,3,"PI","Piauí"
2014,23,59,51,"CE","Ceará"
2014,24,22,20,"RN","Rio Grande Do Norte"
2014,25,9,9,"PB","Paraíba"
2014,26,34,32,"PE","Pernambuco"
2014,27,5,4,"AL","Alagoas"
2014,28,4,4,"SE","Sergipe"
2014,29,14,12,"BA","Bahia"
2014,31,52,45,"MG","Minas Gerais"
2014,32,18,18,"ES","Espírito Santo"
2014,33,12,8,"RJ","Rio De Janeiro"
2014,35,95,94,"SP","São Paulo"
2014,41,13,12,"PR","Paraná"
2014,42,0,0,"SC","Santa Catarina"
2014,43,0,0,"RS","Rio Grande Do Sul"
2014,50,4,4,"MS","Mato Grosso Do Sul"
2014,51,5,5,"MT","Mato Grosso"
2014,52,94,94,"GO","Goiás"
2014,53,16,16,"DF","Distrito Federal"
2014,NA,1,1,NA,NA
2015,11,4,3,"RO","Rondônia"
2015,12,1,1,"AC","Acre"
2015,13,3,3,"AM","Amazônas"
2015,14,0,0,"RR","Roraima"
2015,15,5,5,"PA","Pará"
2015,16,2,2,"AP","Amapá"
2015,17,6,6,"TO","Tocantins"
2015,21,14,14,"MA","Maranhão"
2015,22,2,2,"PI","Piauí"
2015,23,69,69,"CE","Ceará"
2015,24,9,9,"RN","Rio Grande Do Norte"
2015,25,7,7,"PB","Paraíba"
2015,26,36,33,"PE","Pernambuco"
2015,27,7,6,"AL","Alagoas"
2015,28,3,3,"SE","Sergipe"
2015,29,15,15,"BA","Bahia"
2015,31,75,68,"MG","Minas Gerais"
2015,32,29,29,"ES","Espírito Santo"
2015,33,32,29,"RJ","Rio De Janeiro"
2015,35,507,497,"SP","São Paulo"
2015,41,23,22,"PR","Paraná"
2015,42,0,0,"SC","Santa Catarina"
2015,43,2,2,"RS","Rio Grande Do Sul"
2015,50,17,15,"MS","Mato Grosso Do Sul"
2015,51,9,8,"MT","Mato Grosso"
2015,52,100,100,"GO","Goiás"
2015,53,29,29,"DF","Distrito Federal"
2015,NA,2,2,NA,NA
2016,11,3,3,"RO","Rondônia"
2016,12,0,0,"AC","Acre"
2016,13,1,1,"AM","Amazônas"
2016,14,0,0,"RR","Roraima"
2016,15,0,0,"PA","Pará"
2016,16,1,1,"AP","Amapá"
2016,17,0,0,"TO","Tocantins"
2016,21,11,10,"MA","Maranhão"
2016,22,1,1,"PI","Piauí"
2016,23,34,34,"CE","Ceará"
2016,24,24,23,"RN","Rio Grande Do Norte"
2016,25,9,9,"PB","Paraíba"
2016,26,28,27,"PE","Pernambuco"
2016,27,10,10,"AL","Alagoas"
2016,28,1,1,"SE","Sergipe"
2016,29,7,7,"BA","Bahia"
2016,31,265,263,"MG","Minas Gerais"
2016,32,20,20,"ES","Espírito Santo"
2016,33,21,21,"RJ","Rio De Janeiro"
2016,35,130,117,"SP","São Paulo"
2016,41,63,63,"PR","Paraná"
2016,42,2,2,"SC","Santa Catarina"
2016,43,1,1,"RS","Rio Grande Do Sul"
2016,50,18,18,"MS","Mato Grosso Do Sul"
2016,51,5,5,"MT","Mato Grosso"
2016,52,60,60,"GO","Goiás"
2016,53,24,24,"DF","Distrito Federal"
2016,NA,4,4,NA,NA
2017,11,0,0,"RO","Rondônia"
2017,12,1,1,"AC","Acre"
2017,13,3,3,"AM","Amazônas"
2017,14,0,0,"RR","Roraima"
2017,15,0,0,"PA","Pará"
2017,16,1,1,"AP","Amapá"
2017,17,2,2,"TO","Tocantins"
2017,21,4,4,"MA","Maranhão"
2017,22,0,0,"PI","Piauí"
2017,23,26,26,"CE","Ceará"
2017,24,15,15,"RN","Rio Grande Do Norte"
2017,25,7,6,"PB","Paraíba"
2017,26,10,9,"PE","Pernambuco"
2017,27,5,5,"AL","Alagoas"
2017,28,1,1,"SE","Sergipe"
2017,29,5,5,"BA","Bahia"
2017,31,20,20,"MG","Minas Gerais"
2017,32,15,15,"ES","Espírito Santo"
2017,33,5,5,"RJ","Rio De Janeiro"
2017,35,8,6,"SP","São Paulo"
2017,41,0,0,"PR","Paraná"
2017,42,0,0,"SC","Santa Catarina"
2017,43,0,0,"RS","Rio Grande Do Sul"
2017,50,3,3,"MS","Mato Grosso Do Sul"
2017,51,5,4,"MT","Mato Grosso"
2017,52,60,60,"GO","Goiás"
2017,53,12,12,"DF","Distrito Federal"
2018,11,1,1,"RO","Rondônia"
2018,12,3,3,"AC","Acre"
2018,13,3,3,"AM","Amazônas"
2018,14,0,0,"RR","Roraima"
2018,15,2,1,"PA","Pará"
2018,16,0,0,"AP","Amapá"
2018,17,2,2,"TO","Tocantins"
2018,21,3,3,"MA","Maranhão"
2018,22,1,1,"PI","Piauí"
2018,23,11,11,"CE","Ceará"
2018,24,33,33,"RN","Rio Grande Do Norte"
2018,25,16,15,"PB","Paraíba"
2018,26,3,3,"PE","Pernambuco"
2018,27,2,2,"AL","Alagoas"
2018,28,0,0,"SE","Sergipe"
2018,29,3,3,"BA","Bahia"
2018,31,15,15,"MG","Minas Gerais"
2018,32,16,15,"ES","Espírito Santo"
2018,33,6,5,"RJ","Rio De Janeiro"
2018,35,13,13,"SP","São Paulo"
2018,41,2,2,"PR","Paraná"
2018,42,0,0,"SC","Santa Catarina"
2018,43,0,0,"RS","Rio Grande Do Sul"
