years	Race_Colour	New_Cases	TotalAno	Percentual
2013	Amarela	2	656	0.3048780487804878
2013	Branca	269	656	41.006097560975604
2013	Parda	340	656	51.829268292682926
2013	Preta	45	656	6.859756097560976
2014	Amarela	3129	293040	1.0677723177723177
2014	Branca	151395	293040	51.66359541359541
2014	Parda	122607	293040	41.83968058968059
2014	Preta	15909	293040	5.4289516789516785
2015	Amarela	6950	774399	0.897470167187716
2015	Branca	447103	774399	57.73548261296825
2015	Parda	280190	774399	36.18160663947138
2015	Preta	40156	774399	5.18544058037265
2016	Amarela	7063	598372	1.1803694023116054
2016	Branca	271645	598372	45.397344795545244
2016	Parda	287005	598372	47.96430982733149
2016	Preta	32659	598372	5.457975974811656
2017	Amarela	1387	120623	1.1498636246818599
2017	Branca	29657	120623	24.586521641809604
2017	Parda	84492	120623	70.04634273728891
2017	Preta	5087	120623	4.217271996219626
2018	Amarela	2153	150213	1.4332980501021881
2018	Branca	49665	150213	33.063050468334964
2018	Parda	91811	150213	61.120542163461224
2018	Preta	6584	150213	4.383109318101629
2019	Amarela	9834	986854	0.9964999888534677
2019	Branca	450636	986854	45.66389759782095
2019	Parda	473152	986854	47.945491430343296
2019	Preta	53232	986854	5.394110982982285
2020	Amarela	6223	660992	0.9414637393493417
2020	Branca	371270	660992	56.16860718435321
2020	Parda	253485	660992	38.349178204879934
2020	Preta	30014	660992	4.540750871417506
2021	Amarela	3334	356238	0.9358911738781377
2021	Branca	169143	356238	47.480336179745
2021	Parda	170036	356238	47.73101129020486
2021	Preta	13725	356238	3.8527613561719973
2022	Amarela	10816	1006027	1.0751202502517327
2022	Branca	527498	1006027	52.43378159830701
2022	Parda	433412	1006027	43.08154751313831
2022	Preta	34301	1006027	3.409550638302948
2023	Amarela	22310	1199302	1.860248711333759
2023	Branca	623391	1199302	51.979484733620055
2023	Parda	491952	1199302	41.01985988516654
2023	Preta	61649	1199302	5.1404066698796465
2024	Amarela	37614	2306997	1.6304312489353041
2024	Branca	825798	2306997	35.79536514351774
2024	Parda	1308969	2306997	56.73908548645707
2024	Preta	134616	2306997	5.835118121089884
2025	Amarela	17723	1256110	1.4109433091050942
2025	Branca	724501	1256110	57.678149206677766
2025	Parda	448175	1256110	35.67959812436809
2025	Preta	65711	1256110	5.2313093598490585
