month	abbrev_state	name_state	New_Cases_Noti	New_Cases_Conf
2013-12-01	AC	Acre	19	19
2013-12-01	AL	Alagoas	33	33
2013-12-01	AM	Amazônas	24	24
2013-12-01	BA	Bahia	33	33
2013-12-01	CE	Ceará	35	35
2013-12-01	DF	Distrito Federal	23	23
2013-12-01	ES	Espírito Santo	80	80
2013-12-01	GO	Goiás	223	223
2013-12-01	MA	Maranhão	1	1
2013-12-01	MG	Minas Gerais	96	96
2013-12-01	MS	Mato Grosso Do Sul	7	7
2013-12-01	MT	Mato Grosso	21	21
2013-12-01	PB	Paraíba	22	22
2013-12-01	PE	Pernambuco	7	7
2013-12-01	PI	Piauí	2	2
2013-12-01	PR	Paraná	70	70
2013-12-01	RJ	Rio De Janeiro	17	17
2013-12-01	RN	Rio Grande Do Norte	3	3
2013-12-01	RO	Rondônia	9	9
2013-12-01	RR	Roraima	1	1
2013-12-01	SE	Sergipe	3	3
2013-12-01	SP	São Paulo	70	70
2013-12-01	TO	Tocantins	56	56
2014-01-01	AC	Acre	113	113
2014-01-01	AL	Alagoas	280	280
2014-01-01	AM	Amazônas	388	388
2014-01-01	AP	Amapá	12	12
2014-01-01	BA	Bahia	312	312
2014-01-01	CE	Ceará	514	514
2014-01-01	DF	Distrito Federal	557	557
2014-01-01	ES	Espírito Santo	1158	1158
2014-01-01	GO	Goiás	3962	3962
2014-01-01	MA	Maranhão	35	35
2014-01-01	MG	Minas Gerais	2265	2265
2014-01-01	MS	Mato Grosso Do Sul	138	138
2014-01-01	MT	Mato Grosso	318	318
2014-01-01	PA	Pará	3	3
2014-01-01	PB	Paraíba	151	151
2014-01-01	PE	Pernambuco	68	68
2014-01-01	PI	Piauí	119	119
2014-01-01	PR	Paraná	1177	1177
2014-01-01	RJ	Rio De Janeiro	304	304
2014-01-01	RN	Rio Grande Do Norte	200	200
2014-01-01	RO	Rondônia	135	135
2014-01-01	RR	Roraima	41	41
2014-01-01	RS	Rio Grande Do Sul	9	9
2014-01-01	SC	Santa Catarina	3	3
2014-01-01	SE	Sergipe	7	7
2014-01-01	SP	São Paulo	1877	1877
2014-01-01	TO	Tocantins	473	473
2014-02-01	AC	Acre	112	112
