Sex	Age	Age_Group	New_Cases_Noti	New_Cases_Conf
F	0	0-4	61398	61398
F	1	0-4	32465	32465
F	2	0-4	33073	33073
F	3	0-4	37608	37608
F	4	5-9	43614	43614
F	5	5-9	48262	48262
F	6	5-9	53773	53773
F	7	5-9	59291	59291
F	8	5-9	65122	65122
F	9	10-19	70292	70292
F	10	10-19	73290	73290
F	11	10-19	74294	74294
F	12	10-19	76671	76671
F	13	10-19	81675	81675
F	14	10-19	88172	88172
F	15	10-19	95883	95883
F	16	10-19	105318	105318
F	17	10-19	110848	110848
F	18	10-19	116308	116308
F	19	20-29	124561	124561
F	20	20-29	125681	125681
F	21	20-29	126543	126543
F	22	20-29	127613	127613
F	23	20-29	127480	127480
F	24	20-29	128591	128591
F	25	20-29	126532	126532
F	26	20-29	126257	126257
F	27	20-29	125179	125179
F	28	20-29	124066	124066
F	29	30-39	122067	122067
F	30	30-39	120248	120248
F	31	30-39	118108	118108
F	32	30-39	118513	118513
F	33	30-39	119529	119529
F	34	30-39	117730	117730
F	35	30-39	119452	119452
F	36	30-39	119047	119047
F	37	30-39	118018	118018
F	38	30-39	116437	116437
F	39	40-49	114977	114977
F	40	40-49	114943	114943
F	41	40-49	114471	114471
F	42	40-49	112099	112099
F	43	40-49	110320	110320
F	44	40-49	107626	107626
F	45	40-49	104512	104512
F	46	40-49	103168	103168
F	47	40-49	100258	100258
F	48	40-49	97933	97933
F	49	50-59	97413	97413
F	50	50-59	95184	95184
F	51	50-59	93560	93560
F	52	50-59	91774	91774
F	53	50-59	89941	89941
F	54	50-59	87036	87036
F	55	50-59	84425	84425
F	56	50-59	81399	81399
F	57	50-59	78693	78693
F	58	50-59	75785	75785
F	59	60-69	72742	72742
F	60	60-69	69494	69494
F	61	60-69	65815	65815
F	62	60-69	61536	61536
F	63	60-69	58147	58147
F	64	60-69	55033	55033
F	65	60-69	51866	51866
F	66	60-69	48492	48492
F	67	60-69	45607	45607
F	68	60-69	41975	41975
F	69	70-79	39629	39629
F	70	70-79	36407	36407
F	71	70-79	33935	33935
F	72	70-79	31031	31031
F	73	70-79	27936	27936
F	74	70-79	25770	25770
F	75	70-79	24037	24037
F	76	70-79	21640	21640
F	77	70-79	19216	19216
F	78	70-79	17299	17299
F	79	80+	16035	16035
F	80	80+	14294	14294
F	81	80+	12372	12372
F	82	80+	11251	11251
F	83	80+	10085	10085
F	84	80+	8846	8846
F	85	80+	7488	7488
F	86	80+	6275	6275
F	87	80+	5479	5479
F	88	80+	4584	4584
F	89	80+	3772	3772
F	90	80+	2998	2998
F	91	80+	2521	2521
F	92	80+	1962	1962
F	93	80+	1519	1519
F	94	80+	1143	1143
F	95	80+	813	813
F	96	80+	633	633
F	97	80+	457	457
F	98	80+	363	363
F	99	80+	346	346
M	0	0-4	-64129	-64129
M	1	0-4	-36646	-36646
M	2	0-4	-36197	-36197
M	3	0-4	-40933	-40933
M	4	5-9	-47718	-47718
M	5	5-9	-54573	-54573
M	6	5-9	-60524	-60524
M	7	5-9	-65645	-65645
M	8	5-9	-71378	-71378
M	9	10-19	-77843	-77843
M	10	10-19	-80676	-80676
M	11	10-19	-86169	-86169
M	12	10-19	-93024	-93024
M	13	10-19	-98950	-98950
M	14	10-19	-99773	-99773
M	15	10-19	-100768	-100768
M	16	10-19	-102827	-102827
M	17	10-19	-103252	-103252
M	18	10-19	-105314	-105314
M	19	20-29	-110902	-110902
M	20	20-29	-111449	-111449
M	21	20-29	-111661	-111661
M	22	20-29	-111076	-111076
M	23	20-29	-110684	-110684
M	24	20-29	-109710	-109710
M	25	20-29	-107576	-107576
M	26	20-29	-106296	-106296
M	27	20-29	-104258	-104258
M	28	20-29	-101791	-101791
M	29	30-39	-98954	-98954
M	30	30-39	-96896	-96896
M	31	30-39	-94206	-94206
M	32	30-39	-93655	-93655
M	33	30-39	-92743	-92743
M	34	30-39	-91434	-91434
M	35	30-39	-91396	-91396
M	36	30-39	-90719	-90719
M	37	30-39	-89116	-89116
M	38	30-39	-86935	-86935
M	39	40-49	-85640	-85640
M	40	40-49	-84701	-84701
M	41	40-49	-83428	-83428
M	42	40-49	-81993	-81993
M	43	40-49	-78683	-78683
M	44	40-49	-76504	-76504
M	45	40-49	-73985	-73985
M	46	40-49	-72105	-72105
M	47	40-49	-69761	-69761
M	48	40-49	-67361	-67361
M	49	50-59	-65722	-65722
M	50	50-59	-63596	-63596
M	51	50-59	-62593	-62593
M	52	50-59	-60663	-60663
M	53	50-59	-59018	-59018
M	54	50-59	-57598	-57598
M	55	50-59	-56531	-56531
M	56	50-59	-54702	-54702
M	57	50-59	-52411	-52411
M	58	50-59	-50402	-50402
M	59	60-69	-49225	-49225
M	60	60-69	-47195	-47195
M	61	60-69	-44950	-44950
M	62	60-69	-42347	-42347
M	63	60-69	-40301	-40301
M	64	60-69	-38813	-38813
M	65	60-69	-36668	-36668
M	66	60-69	-34559	-34559
M	67	60-69	-32535	-32535
M	68	60-69	-30505	-30505
M	69	70-79	-28300	-28300
M	70	70-79	-26496	-26496
M	71	70-79	-24946	-24946
M	72	70-79	-23057	-23057
M	73	70-79	-20958	-20958
M	74	70-79	-19253	-19253
M	75	70-79	-17787	-17787
M	76	70-79	-16179	-16179
M	77	70-79	-14505	-14505
M	78	70-79	-12965	-12965
M	79	80+	-12011	-12011
M	80	80+	-10609	-10609
M	81	80+	-9396	-9396
M	82	80+	-8469	-8469
M	83	80+	-7405	-7405
M	84	80+	-6390	-6390
M	85	80+	-5673	-5673
M	86	80+	-4644	-4644
M	87	80+	-3905	-3905
M	88	80+	-3200	-3200
M	89	80+	-2697	-2697
M	90	80+	-1979	-1979
M	91	80+	-1648	-1648
M	92	80+	-1294	-1294
M	93	80+	-1026	-1026
M	94	80+	-767	-767
M	95	80+	-501	-501
M	96	80+	-396	-396
M	97	80+	-263	-263
M	98	80+	-197	-197
M	99	80+	-207	-207
