State	cod_municipio	nome_munic	populacao	New_Cases	incidence
11	1100015	Alta Floresta D'Oeste	22853	1048	4585.83118190172
11	1100023	Ariquemes	108573	1852	1705.764784983375
11	1100031	Cabixi	5690	311	5465.72934973638
11	1100049	Cacoal	97637	3616	3703.514036686912
11	1100056	Cerejeiras	16975	932	5490.427098674521
11	1100064	Colorado do Oeste	16588	188	1133.3494092114781
11	1100072	Corumbiara	8001	201	2512.185976752906
11	1100080	Costa Marques	13522	256	1893.211063452152
11	1100098	Espigão D'Oeste	32717	1796	5489.500871106764
11	1100106	Guajará-Mirim	43553	482	1106.697586848208
11	1100114	Jaru	55583	2322	4177.536297069248
11	1100122	Ji-Paraná	139359	2134	1531.296866366722
11	1100130	Machadinho D'Oeste	34063	1062	3117.752399964771
11	1100148	Nova Brasilândia D'Oeste	16504	1550	9391.662627241882
11	1100155	Ouro Preto do Oeste	38681	237	612.7039114810889
11	1100189	Pimenta Bueno	39053	1737	4447.801705374747
11	1100205	Porto Velho	514873	5644	1096.192653333929
11	1100254	Presidente Médici	20518	456	2222.438834194366
11	1100262	Rio Crespo	3753	105	2797.7617905675456
11	1100288	Rolim de Moura	62559	1698	2714.23775955498
11	1100296	Santa Luzia D'Oeste	7877	236	2996.0644915577
11	1100304	Vilhena	108528	4988	4596.0489458941465
11	1100320	São Miguel do Guaporé	22267	289	1297.8847622041587
11	1100338	Nova Mamoré	28496	545	1912.5491297024143
11	1100346	Alvorada D'Oeste	13837	461	3331.6470333164707
11	1100379	Alto Alegre dos Parecis	12263	266	2169.126641115551
11	1100403	Alto Paraíso	17463	239	1368.6079138750501
11	1100452	Buritis	30729	1519	4943.2132513261095
11	1100502	Novo Horizonte do Oeste	8056	75	930.9831181727905
11	1100601	Cacaulândia	4345	361	8308.400460299195
11	1100700	Campo Novo de Rondônia	9225	392	4249.322493224932
11	1100809	Candeias do Jamari	24163	116	480.0728386375864
11	1100908	Castanheiras	3456	21	607.6388888888889
11	1100924	Chupinguaia	10129	472	4659.887451870865
11	1100940	Cujubim	15883	237	1492.1614304602406
11	1101005	Governador Jorge Teixeira	8420	136	1615.2019002375298
11	1101104	Itapuã do Oeste	9209	472	5125.420784015637
11	1101203	Ministro Andreazza	6657	186	2794.051374493015
11	1101302	Mirante da Serra	9740	121	1242.299794661191
11	1101401	Monte Negro	12241	541	4419.573564251287
11	1101435	Nova União	6577	62	942.6790329937661
11	1101450	Parecis	4390	229	5216.400911161731
11	1101468	Pimenteiras do Oeste	2311	49	2120.294244915621
11	1101476	Primavera de Rondônia	3279	236	7197.316254955779
11	1101484	São Felipe D'Oeste	5605	299	5334.522747546834
11	1101492	São Francisco do Guaporé	17511	593	3386.442807378219
11	1101500	Seringueiras	12954	514	3967.886367145283
11	1101559	Teixeirópolis	4536	58	1278.6596119929452
11	1101609	Theobroma	8540	110	1288.0562060889931
11	1101708	Urupá	11377	162	1423.925463654742
11	1101757	Vale do Anari	8265	270	3266.7876588021777
11	1101807	Vale do Paraíso	6843	163	2381.996200496858
12	1200013	Acrelândia	14657	400	2729.0714334447703
12	1200054	Assis Brasil	8573	1813	21147.789571911817
12	1200104	Brasiléia	27841	3994	14345.749075105061
12	1200138	Bujari	13766	174	1263.9837280255704
12	1200179	Capixaba	10922	405	3708.1120673869254
12	1200203	Cruzeiro do Sul	98382	39387	40034.76245654693
12	1200252	Epitaciolândia	19739	493	2497.5935964334567
12	1200302	Feijó	37644	1007	2675.0610987142704
12	1200328	Jordão	9787	2	20.435271278226217
12	1200336	Mâncio Lima	20329	1418	6975.257021988293
12	1200344	Manoel Urbano	12776	602	4711.959924859111
12	1200351	Marechal Thaumaturgo	17951	743	4139.045178541585
12	1200385	Plácido de Castro	17127	654	3818.532142231564
12	1200393	Porto Walter	11275	324	2873.6141906873613
12	1200401	Rio Branco	387852	19727	5086.218454462011
12	1200427	Rodrigues Alves	15537	1730	11134.710690609512
12	1200450	Senador Guiomard	22352	26	116.3206871868289
12	1200500	Sena Madureira	43916	2991	6810.729574642499
12	1200609	Tarauacá	46517	6934	14906.378313304813
12	1200708	Xapuri	19090	2409	12619.172341540074
12	1200807	Porto Acre	17455	251	1437.9833858493269
13	1300029	Alvarães	16670	514	3083.383323335333
13	1300060	Amaturá	11411	1	8.763473841030585
13	1300102	Anori	17932	25	139.41556993084987
13	1300144	Apuí	21735	12	55.21048999309869
13	1300201	Atalaia do Norte	15892	888	5587.71709035993
13	1300300	Autazes	45328	6	13.23685139428168
13	1300409	Barcelos	18626	138	740.8998174594653
13	1300607	Benjamin Constant	40509	3129	7724.209434940383
13	1300631	Beruri	22136	53	239.42898445970363
13	1300680	Boa Vista do Ramos	25769	16	62.09010826962629
13	1300706	Boca do Acre	38246	961	2512.6810646865033
13	1300805	Borba	34879	192	550.4744975486683
13	1300839	Caapiranga	14310	9	62.893081761006286
13	1300904	Canutama	17885	2	11.182555213866369
13	1301001	Carauari	30892	1088	3521.947429755277
13	1301100	Careiro	32442	33	101.71999260218236
13	1301159	Careiro da Várzea	19809	1	5.048210409409864
13	1301209	Coari	73820	953	1290.978054727716
13	1301308	Codajás	24451	292	1194.2251850640057
13	1301407	Eirunepé	35534	923	2597.512241796589
13	1301506	Envira	17920	1584	8839.285714285716
13	1301605	Fonte Boa	27875	2	7.174887892376682
13	1301654	Guajará	14332	2903	20255.372592799333
13	1301704	Humaitá	62312	1189	1908.1396841699832
