State	uf	cases_noti	cases_conf	populacao	incidenceNoti	incidenceConf	name_state	code_region	name_region
11	RO	42045	42045	1746227	2407.762564660837	2407.762564660837	Rondônia	1	Norte
12	AC	85484	85484	880631	9707.130455321241	9707.130455321241	Acre	1	Norte
13	AM	47028	47028	4281209	1098.4747532764693	1098.4747532764693	Amazônas	1	Norte
14	RR	5055	5055	716793	705.2245208867832	705.2245208867832	Roraima	1	Norte
15	PA	68347	68347	8664306	788.8340970413556	788.8340970413556	Pará	1	Norte
16	AP	21431	21431	802837	2669.4086097177883	2669.4086097177883	Amapá	1	Norte
17	TO	70828	70828	1577342	4490.338810479909	4490.338810479909	Tocantins	1	Norte
21	MA	51946	51946	7010960	740.9256364321006	740.9256364321006	Maranhão	2	Nordeste
22	PI	83699	83699	3375646	2479.4957765121103	2479.4957765121103	Piauí	2	Nordeste
23	CE	271010	271010	9233656	2935.0237868943786	2935.0237868943786	Ceará	2	Nordeste
24	RN	62352	62352	3446071	1809.3649260273512	1809.3649260273512	Rio Grande Do Norte	2	Nordeste
25	PB	111680	111680	4145040	2694.304518171115	2694.304518171115	Paraíba	2	Nordeste
26	PE	189359	189359	9539029	1985.0972253045882	1985.0972253045882	Pernambuco	2	Nordeste
27	AL	125688	125688	3220104	3903.227970276736	3903.227970276736	Alagoas	2	Nordeste
28	SE	23857	23857	2291077	1041.3006633997898	1041.3006633997898	Sergipe	2	Nordeste
29	BA	370877	370877	14850513	2497.40194160296	2497.40194160296	Bahia	2	Nordeste
31	MG	2976923	2976923	21322691	13961.291283543904	13961.291283543904	Minas Gerais	3	Sudeste
32	ES	458933	458933	4102129	11187.678398217122	11187.678398217122	Espírito Santo	3	Sudeste
33	RJ	180069	180069	17219679	1045.7163574303563	1045.7163574303563	Rio De Janeiro	3	Sudeste
35	SP	3157320	3157320	45973194	6867.741231988362	6867.741231988362	São Paulo	3	Sudeste
41	PR	1210957	1210957	11824665	10240.941286708756	10240.941286708756	Paraná	4	Sul
42	SC	261661	261661	8058441	3247.042449029533	3247.042449029533	Santa Catarina	4	Sul
43	RS	176947	176947	11229915	1575.6753279076465	1575.6753279076465	Rio Grande Do Sul	4	Sul
50	MS	253123	253123	2901895	8722.679490470882	8722.679490470882	Mato Grosso Do Sul	5	Centro Oeste
51	MT	233074	233074	3836399	6075.332623118711	6075.332623118711	Mato Grosso	5	Centro Oeste
52	GO	1234005	1234005	7350483	16788.080456753658	16788.080456753658	Goiás	5	Centro Oeste
53	DF	415069	415069	2982818	13915.331072831128	13915.331072831128	Distrito Federal	5	Centro Oeste
