ANO	SEM_NOT	Início	Término
2014	20141	2013-12-29	2014-01-04
2014	20142	2014-01-05	2014-01-11
2014	20143	2014-01-12	2014-01-18
2014	20144	2014-01-19	2014-01-25
2014	20145	2014-01-26	2014-02-01
2014	20146	2014-02-02	2014-02-08
2014	20147	2014-02-09	2014-02-15
2014	20148	2014-02-16	2014-02-22
2014	20149	2014-02-23	2014-03-01
2014	201410	2014-03-02	2014-03-08
2014	201411	2014-03-09	2014-03-15
2014	201412	2014-03-16	2014-03-22
2014	201413	2014-03-23	2014-03-29
2014	201414	2014-03-30	2014-04-05
2014	201415	2014-04-06	2014-04-12
2014	201416	2014-04-13	2014-04-19
2014	201417	2014-04-20	2014-04-26
2014	201418	2014-04-27	2014-05-03
2014	201419	2014-05-04	2014-05-10
2014	201420	2014-05-11	2014-05-17
2014	201421	2014-05-18	2014-05-24
2014	201422	2014-05-25	2014-05-31
2014	201423	2014-06-01	2014-06-07
2014	201424	2014-06-08	2014-06-14
2014	201425	2014-06-15	2014-06-21
2014	201426	2014-06-22	2014-06-28
2014	201427	2014-06-29	2014-07-05
2014	201428	2014-07-06	2014-07-12
2014	201429	2014-07-13	2014-07-19
2014	201430	2014-07-20	2014-07-26
2014	201431	2014-07-27	2014-08-02
2014	201432	2014-08-03	2014-08-09
2014	201433	2014-08-10	2014-08-16
2014	201434	2014-08-17	2014-08-23
2014	201435	2014-08-24	2014-08-30
2014	201436	2014-08-31	2014-09-06
2014	201437	2014-09-07	2014-09-13
2014	201438	2014-09-14	2014-09-20
2014	201439	2014-09-21	2014-09-27
2014	201440	2014-09-28	2014-10-04
2014	201441	2014-10-05	2014-10-11
2014	201442	2014-10-12	2014-10-18
2014	201443	2014-10-19	2014-10-25
2014	201444	2014-10-26	2014-11-01
2014	201445	2014-11-02	2014-11-08
2014	201446	2014-11-09	2014-11-15
2014	201447	2014-11-16	2014-11-22
2014	201448	2014-11-23	2014-11-29
2014	201449	2014-11-30	2014-12-06
2014	201450	2014-12-07	2014-12-13
2014	201451	2014-12-14	2014-12-20
2014	201452	2014-12-21	2014-12-27
2014	201453	2014-12-28	2015-01-03
2015	20151	2015-01-04	2015-01-10
2015	20152	2015-01-11	2015-01-17
2015	20153	2015-01-18	2015-01-24
2015	20154	2015-01-25	2015-01-31
2015	20155	2015-02-01	2015-02-07
2015	20156	2015-02-08	2015-02-14
2015	20157	2015-02-15	2015-02-21
2015	20158	2015-02-22	2015-02-28
